Subject Name:D:\adrian0706nast.txt
File Created: 08.06.2016 00:10:17 
Version: 2.3 
Released: 4/22/2012
 
Elapsed Time 	Action 	 X	Y
11,929	Moved	782	575
11,937	Moved	804	581
11,945	Moved	830	587
11,953	Moved	857	593
11,959	Moved	881	599
11,967	Moved	903	603
11,975	Moved	925	603
11,983	Moved	941	603
11,991	Moved	954	603
11,999	Moved	962	601
12,007	Moved	967	601
12,015	Moved	970	600
12,085	Moved	971	599
12,093	Moved	968	599
12,101	Moved	963	603
12,109	Moved	958	607
12,117	Moved	951	612
12,125	Moved	942	620
12,133	Moved	932	630
12,141	Moved	922	639
12,149	Moved	913	649
12,157	Moved	903	659
12,165	Moved	894	673
12,171	Moved	885	689
12,179	Moved	877	707
12,187	Moved	871	729
12,195	Moved	867	755
12,203	Moved	865	781
12,211	Moved	863	803
12,219	Moved	859	825
12,227	Moved	856	841
12,235	Moved	853	854
12,243	Moved	851	867
12,25	Moved	850	875
12,258	Moved	848	881
12,266	Moved	848	888
12,272	Moved	848	892
12,282	Moved	848	896
12,288	Moved	847	899
12,296	Moved	846	901
12,304	Moved	845	902
12,312	Moved	844	905
12,321	Moved	843	907
12,329	Moved	842	909
12,337	Moved	841	910
12,345	Moved	840	911
12,361	Moved	839	911
13,431	Moved	838	911
13,437	Moved	837	910
13,445	Moved	836	910
13,674	Moved	835	910
13,687	Moved	835	909
13,695	Moved	835	908
13,703	Moved	835	907
13,711	Moved	835	906
13,719	Moved	836	905
13,727	Moved	836	904
13,735	Moved	836	903
13,743	Moved	836	902
13,751	Moved	836	901
13,759	Moved	836	900
13,767	Moved	836	899
13,773	Moved	836	898
13,783	Moved	836	897
13,789	Moved	836	896
14,315	Moved	836	895
14,315	Moved	836	897
14,331	Moved	836	898
14,333	Moved	836	900
14,435	Moved	836	901
14,58	Moved	836	902
14,599	Moved	835	902
14,607	Moved	835	901
14,615	Moved	835	900
14,623	Moved	835	899
14,629	Moved	835	898
14,633	Moved	835	897
14,633	Moved	835	896
14,649	Moved	835	895
14,649	Moved	835	894
14,664	Moved	835	893
14,664	Moved	835	892
14,68	Moved	835	891
14,693	Moved	835	890
14,701	Moved	835	889
14,709	Moved	835	888
32,115	Moved	835	887
32,115	Moved	836	884
32,13	Moved	848	862
32,13	Moved	867	835
32,149	Moved	894	812
32,156	Moved	922	794
32,164	Moved	955	771
32,172	Moved	992	755
32,18	Moved	1027	742
32,189	Moved	1065	738
32,197	Moved	1104	738
32,205	Moved	1141	736
32,213	Moved	1174	734
32,219	Moved	1198	730
32,229	Moved	1216	724
32,235	Moved	1225	718
32,243	Moved	1232	714
32,251	Moved	1237	711
32,259	Moved	1241	710
32,267	Moved	1242	710
32,275	Moved	1242	712
32,377	Moved	1241	713
32,526	Moved	1240	713
32,541	Moved	1240	712
32,557	Moved	1240	711
32,565	Moved	1240	710
32,581	Moved	1240	709
32,586	Moved	1240	708
32,586	Moved	1241	708
32,617	Moved	1241	707
32,633	Moved	1241	706
32,653	Moved	1241	705
32,653	Moved	1242	705
32,653	Moved	1242	704
32,669	Moved	1242	703
32,669	Moved	1243	702
32,691	Moved	1245	700
32,699	Moved	1246	697
32,707	Moved	1247	694
32,707	Moved	1248	691
32,722	Moved	1248	690
32,722	Moved	1248	689
32,8	Moved	1248	688
32,816	Moved	1243	691
32,816	Moved	1227	696
32,831	Moved	1205	702
32,831	Moved	1183	706
32,849	Moved	1161	710
32,853	Moved	1139	712
32,853	Moved	1117	714
32,869	Moved	1101	716
32,869	Moved	1085	718
32,886	Moved	1075	720
32,886	Moved	1070	720
32,902	Moved	1067	721
32,902	Moved	1066	721
33,001	Moved	1065	721
33,032	Moved	1065	722
33,053	Moved	1065	723
33,061	Moved	1064	724
33,069	Moved	1064	725
33,075	Moved	1063	726
33,085	Moved	1062	727
33,091	Moved	1062	728
33,099	Moved	1061	729
33,107	Moved	1061	730
33,115	Moved	1060	731
33,123	Moved	1060	732
33,131	Moved	1059	733
33,139	Moved	1058	734
33,147	Moved	1058	736
33,155	Moved	1057	737
33,163	Moved	1057	738
33,171	Moved	1056	740
33,179	Moved	1056	741
33,187	Moved	1056	742
33,193	Moved	1056	744
33,201	Moved	1056	745
33,209	Moved	1056	746
33,225	Moved	1055	747
33,249	Moved	1055	748
33,319	Pressed Left	1055	749
33,563	Moved	1055	749
33,571	Moved	1054	752
33,579	Moved	1051	757
33,587	Moved	1049	763
33,595	Moved	1046	770
33,603	Moved	1044	774
33,611	Moved	1042	779
33,619	Moved	1039	782
33,625	Moved	1036	786
33,633	Moved	1033	790
33,641	Moved	1032	793
33,649	Moved	1031	796
33,656	Moved	1030	800
33,664	Moved	1029	803
33,672	Moved	1028	805
33,68	Moved	1028	809
33,688	Moved	1028	810
33,766	Moved	1027	810
33,978	Moved	1027	811
33,986	Moved	1030	810
33,994	Moved	1033	810
34,002	Moved	1037	809
34,012	Moved	1039	809
34,018	Moved	1040	809
34,026	Moved	1041	809
34,034	Moved	1042	808
34,043	Moved	1042	807
34,051	Moved	1042	806
34,056	Moved	1042	804
34,064	Moved	1042	802
34,324	Moved	1042	801
34,34	Moved	1042	800
34,349	Moved	1039	799
34,357	Moved	1032	796
34,364	Moved	1026	795
34,372	Moved	1018	791
34,378	Moved	1010	790
34,386	Moved	994	788
34,394	Moved	978	786
34,402	Moved	965	786
34,41	Moved	952	787
34,418	Moved	944	788
34,426	Moved	936	791
34,67	Moved	931	792
34,678	Moved	931	791
34,686	Moved	931	790
34,692	Moved	931	789
34,701	Moved	931	788
34,708	Moved	931	787
34,724	Moved	931	786
34,732	Moved	931	785
